QuoteRef,CustomerRef,Application Ref,Loan Ref,type,previous loan ref, income, mortgage, bills,postcode,phone number,Brand,Value,Term,Income_Check_id,Income_Check,Mortgage_check_id,Mortgage_check,Bills_Check_id,Bills_Check,Status,Time
QT00001,C1545Q,Null,Null,New,Null,15000,100000,500,CR85FR,7145978125,Bamboo,10000,24,Null,Null,Null,Null,Null,Null,Null,01/12/2012 12:00
QT00002,C1545Q,Null,Null,New,Null,15000,100000,500,CR85FR,7145978125,Plata,10000,24,Null,Null,Null,Null,Null,Null,Null,01/12/2012 12:00
QT00003,C1545Q,AX2BB,Null,New,Null,15000,100000,500,CR85FR,7145978125,Bamboo,10000,24,14,TRUE,113,TRUE,213,TRUE,Fail,01/12/2012 12:00
QT00004,C1545Q,AX2BB,Null,New,Null,15000,100000,500,CR85FR,7145978125,Bamboo,10000,24,15,TRUE,114,TRUE,214,TRUE,Pass,01/12/2012 12:00
QT00005,C1545Q,AX2BB,L8744,New,Null,15000,100000,500,CR85FR,7145978125,Bamboo,10000,24,16,TRUE,115,TRUE,215,TRUE,Disbursed,01/12/2012 15:00
,,,,,,,,,,,,,,,,,,,,,
QT00006,C1545Q,Null,Null,Repeat,Null,15000,100000,500,CR85FR,7145978125,Bamboo,20000,48,Null,Null,Null,Null,Null,Null,Null,04/11/2017 12:00
QT00007,C1545Q,Null,Null,Repeat,Null,15000,100000,500,CR85FR,7145978125,Plata,20000,48,Null,Null,Null,Null,Null,Null,Null,04/11/2017 12:00
,,,,,,,,,,,,,,,,,,,,,
QT00008,C1545Q,Null,Null,Repeat,Null,15000,100000,500,CR85FR,7145978125,Bamboo,18000,36,Null,Null,Null,Null,Null,Null,Null,05/11/2017 07:00
QT00009,C1545Q,Null,Null,Repeat,Null,15000,100000,500,CR85FR,7145978125,Plata,18000,36,Null,Null,Null,Null,Null,Null,Null,05/11/2017 07:00
,,,,,,,,,,,,,,,,,,,,,
QT00010,C1545Q,Null,Null,Repeat,Null,15000,100000,500,CR85FR,7145978125,Bamboo,20000,48,Null,Null,Null,Null,Null,Null,Null,08/11/2017 16:00
QT00011,C1545Q,Null,Null,Repeat,Null,15000,100000,500,CR85FR,7145978125,Plata,20000,48,Null,Null,Null,Null,Null,Null,Null,08/11/2017 16:00
,,,,,,,,,,,,,,,,,,,,,
QT00012,C1545Q,Null,Null,Repeat,Null,15000,100000,500,CR85FR,7145978125,Bamboo,20000,48,Null,Null,Null,Null,Null,Null,Null,11/12/2017 12:00
QT00013,C1545Q,Null,Null,Repeat,Null,15000,100000,500,CR85FR,7145978125,Plata,20000,48,Null,Null,Null,Null,Null,Null,Null,11/12/2017 12:00
QT00014,C1545Q,AD488,Null,Repeat,Null,15000,100000,500,CR85FR,7145978125,Plata,20000,48,29,FALSE,128,TRUE,228,TRUE,Refer,11/12/2017 13:00
QT00015,C1545Q,AD488,Null,Repeat,Null,17000,100000,500,CR85FR,7145978125,Plata,17000,24,30,TRUE,129,TRUE,229,TRUE,Pass,13/12/2017 15:00
